Joy,45,23,3,1,5
Joe,1,40,50,9,4
Joe,5,49,40,29,3
Sam,30,7,1,46,4
Mel,30,42,21,37,5
Joy,31,3,16,6,5
Sam,31,47,16,42,4
Joe,38,14,30,41,1
Joy,15,48,39,34,2
Joe,49,26,32,13,4
Sam,1,42,44,7,2
Jill,48,10,6,21,3
Mel,20,14,22,10,1
Jill,11,35,11,6,5
Sam,13,6,50,49,4
Sam,45,5,26,24,5
Sam,37,2,35,17,3
Jill,5,43,21,10,2
Joe,22,41,42,8,2
Joy,4,12,49,11,3
Joy,35,8,40,18,1
Sam,15,3,6,44,4
Joe,17,15,35,20,4
Sam,44,30,43,5,1
Joe,19,35,14,40,5
Joy,5,18,18,23,4
Sam,7,18,34,48,1
Jill,43,45,22,23,4
Mel,37,3,19,5,2
Joy,11,40,5,42,4
Mel,20,44,15,36,3
Joe,23,13,2,24,3
Mel,43,3,13,34,5
Joy,6,39,35,45,5
Joe,10,36,24,47,3
Sam,4,31,41,47,4
Sam,7,7,9,43,3
Jill,36,26,40,50,3
Mel,35,30,33,5,3
Jill,20,50,17,11,2
Sam,5,3,16,31,3
Mel,20,9,48,27,4
Mel,10,42,47,39,2
Joy,20,32,29,36,5
Jill,28,29,27,38,3
Sam,13,42,3,13,5
Joe,44,17,15,35,2
Joy,47,40,11,41,2
Joe,17,1,20,28,2
Jill,12,27,35,46,1
Sam,46,21,12,3,1
Joy,41,5,9,17,5
Joe,21,41,1,38,4
Joe,45,25,3,45,4
Joe,9,40,44,16,1
Joe,29,38,36,36,3
Joy,11,49,11,13,2
Joe,28,2,33,16,5
Sam,2,3,22,5,4
Mel,20,33,46,43,5
Sam,6,40,47,31,1
Sam,41,33,23,36,3
Joy,29,14,24,33,3
Joy,47,4,26,38,4
Mel,29,15,46,48,4
Mel,25,38,6,36,4
Sam,12,42,19,28,4
Sam,26,5,15,16,2
Joe,44,25,50,34,1
Jill,26,48,12,10,3
Mel,41,12,16,45,1
Jill,11,48,21,7,3
Mel,46,29,11,41,3
Mel,1,41,26,50,5
Joe,3,36,25,11,5
Joe,23,18,34,2,5
Jill,24,41,45,14,5
Joe,32,40,50,13,3
Joy,28,46,9,21,1
Jill,49,7,43,2,3
Joy,10,43,49,12,1
Joe,40,43,23,21,1
Sam,37,20,12,9,4
Jill,17,22,23,44,3
Joy,19,41,22,9,3
Joy,41,46,6,3,4
Jill,17,29,50,33,5
Jill,20,35,16,30,4
Jill,1,11,35,1,4
Sam,10,26,20,10,4
Jill,19,36,50,50,5
Joe,9,48,9,33,2
Joe,33,17,10,41,2
Joy,15,39,18,18,3
Joe,48,8,24,1,1
Sam,50,12,29,46,3
Mel,18,23,40,38,5
Sam,36,30,17,18,2
Joy,21,33,43,1,1
Jill,2,8,15,24,3
Joy,29,13,4,9,1
Joe,13,20,40,40,3
Joe,25,48,15,7,4
Joe,18,37,6,6,3
Mel,23,5,49,13,4
Joy,6,32,41,38,2
Mel,4,21,28,12,5
Mel,38,39,47,37,4
Mel,49,22,24,42,4
Sam,38,6,18,18,3
Jill,7,50,20,6,3
Mel,21,17,44,44,5
Jill,3,25,40,2,4
Jill,29,40,1,22,1
Joy,28,21,26,13,4
Joy,17,7,41,32,1
Jill,33,19,9,41,2
Mel,45,18,15,20,5
Mel,25,38,31,45,4
Joy,37,8,1,40,5
Sam,35,1,43,4,1
Sam,15,41,2,36,1
Sam,48,38,8,38,1
Jill,11,15,24,13,5
Jill,21,22,27,7,3
Mel,50,19,24,2,4
Joe,17,45,36,43,1
Jill,12,5,17,15,1
Sam,32,27,11,30,5
Mel,5,12,30,18,3
Mel,4,50,28,7,3
Jill,46,9,37,32,3
Jill,20,35,37,27,2
Sam,9,3,46,24,5
Jill,13,22,7,14,4
Joy,31,23,38,22,5
Sam,50,28,45,47,5
Mel,40,33,14,9,4
Sam,49,36,4,39,5
Joy,1,32,2,21,4
Joy,25,46,46,13,3
Mel,44,22,9,22,4
Mel,6,32,48,23,5
Mel,37,40,4,32,3
Joy,9,8,5,21,4
Joy,29,40,33,9,2
Joe,17,48,4,26,5
Joy,50,38,33,27,5
Sam,47,19,14,9,4
Jill,49,42,22,38,1
Joy,37,13,2,17,1
Mel,29,36,19,37,4
Mel,9,32,23,19,1
Joe,30,32,6,1,2
Joe,31,50,21,17,1
Joy,36,35,5,45,5
Jill,32,9,18,35,4
Joe,14,37,29,23,2
Mel,23,50,45,28,3
Mel,15,24,15,30,1
Sam,27,40,41,41,5
Joy,30,14,45,45,5
Mel,19,21,4,11,3
Mel,45,45,31,46,1
Sam,49,38,45,4,5
Mel,2,43,50,15,3
Mel,22,33,22,29,4
Sam,5,5,12,38,3
Joe,41,13,3,29,2
Sam,9,7,8,39,4
Joy,40,11,32,8,1
Joy,42,46,41,23,3
Jill,36,33,21,49,1
Joe,40,22,46,47,3
Mel,48,36,29,4,5
